fold,iteration,loss
1,0,0.6350501775741577
1,1,0.37706318497657776
1,2,0.2760847806930542
1,3,0.26233720779418945
1,4,0.2575984001159668
1,5,0.2525850534439087
1,6,0.2533823549747467
1,7,0.25338923931121826
1,8,0.25007471442222595
1,9,0.25004589557647705
1,10,0.24859470129013062
1,11,0.24781674146652222
1,12,0.24689456820487976
1,13,0.24775055050849915
1,14,0.24867446720600128
1,15,0.24537783861160278
1,16,0.24402973055839539
1,17,0.24496357142925262
1,18,0.24578778445720673
1,19,0.24343140423297882
1,20,0.24369804561138153
1,21,0.24104925990104675
1,22,0.24285289645195007
1,23,0.24046781659126282
1,24,0.24007630348205566
1,25,0.24184635281562805
1,26,0.24565018713474274
1,27,0.2432870864868164
1,28,0.24485169351100922
1,29,0.24158896505832672
1,30,0.24123941361904144
1,31,0.24136397242546082
1,32,0.24308103322982788
1,33,0.24345752596855164
1,34,0.24137121438980103
1,35,0.23814521729946136
1,36,0.23985831439495087
1,37,0.24011611938476562
1,38,0.2388031780719757
1,39,0.24028383195400238
1,40,0.2382442206144333
1,41,0.2369292825460434
1,42,0.23287314176559448
1,43,0.23711146414279938
1,44,0.23843200504779816
1,45,0.23399128019809723
1,46,0.22750796377658844
1,47,0.22743290662765503
1,48,0.22766245901584625
1,49,0.2236187756061554
2,0,0.6143926978111267
2,1,0.375638484954834
2,2,0.30121272802352905
2,3,0.26847314834594727
2,4,0.2636510729789734
2,5,0.25874146819114685
2,6,0.2542518675327301
2,7,0.25668373703956604
2,8,0.251066118478775
2,9,0.2522521913051605
2,10,0.25187239050865173
2,11,0.24902023375034332
2,12,0.24790246784687042
2,13,0.2464200109243393
2,14,0.24856165051460266
2,15,0.25120630860328674
2,16,0.24728263914585114
2,17,0.2459658831357956
2,18,0.24243082106113434
2,19,0.2439376264810562
2,20,0.24215728044509888
2,21,0.2445516586303711
2,22,0.24065998196601868
2,23,0.23859721422195435
2,24,0.23798421025276184
2,25,0.23820693790912628
2,26,0.23920021951198578
2,27,0.23659102618694305
2,28,0.23449818789958954
2,29,0.23409515619277954
2,30,0.2358686923980713
2,31,0.23769229650497437
2,32,0.23279261589050293
2,33,0.23270048201084137
2,34,0.229715958237648
2,35,0.22781801223754883
2,36,0.22721685469150543
2,37,0.21889904141426086
2,38,0.2165573239326477
2,39,0.20791314542293549
2,40,0.20065349340438843
2,41,0.19587260484695435
