MSE,SSIM,PixelCorr,PSNR,FID_like,CLIP_like,Sample
0.41320294,-0.08683908568417928,0.15483546,3.838365856289106,0.019929895,0.47800767,1
0.29788324,0.1563486227246621,0.37987655,5.259539023136714,0.014962363,0.63031197,2
0.41219392,0.017162845123688125,0.16675007,3.8489842367078086,0.12661397,0.36556488,3
0.12703684,0.4964000081834095,0.7156642,8.960703246096688,0.02922405,0.77962375,4
0.33694893,-0.06270794827803725,0.16158643,4.724358812018563,0.013672368,0.39946032,5
0.025807684,0.8983736083773542,0.9418211,15.882509378382341,0.0002665248,0.9608721,6
0.21604861,0.4313383618661241,0.5901391,6.654484779111007,0.06333637,0.69163483,7
0.004090371,0.9795857222119638,0.9918153,23.88237292999598,7.983982e-05,0.9955746,8
0.17341365,0.6118167717854516,0.6675658,7.609167351123897,0.020385562,0.7899135,9
0.30760577,0.20693521386482958,0.36886343,5.120054874743798,0.0856357,0.519388,10
0.068277255,0.6765593016769912,0.7282914,11.657239801334017,0.010780489,0.7573188,11
0.32612208,0.22100957212851152,0.40850112,4.86619757179276,0.12979476,0.5306983,12
