MSE,SSIM,PixelCorr,PSNR,FID_like,CLIP_like,Sample
0.04126041500451177,0.6264830272373969,0.7639651688623375,13.844664081306082,0.00043644591647874683,0.8027652921311998,1
0.03178113506581338,0.6950998999344855,0.8435066550456758,14.978305959890449,0.0016072305817202434,0.8738634703514646,2
0.0417067197241083,0.5539518257898658,0.7628062397319038,13.797939665133335,0.001396358363440149,0.8055386216467039,3
0.059196570693175146,0.4784432993276425,0.7163740620533884,12.277034515907456,0.011927031619330657,0.7686302124022757,4
0.05216277197866758,0.4856775904879537,0.66065040645205,12.826393378464635,0.004649513475971239,0.7068480062362031,5
0.057191590183295615,0.394814592906818,0.538531673516353,12.426678279466062,0.004230878284348403,0.6051060460508808,6
0.048519642287993756,0.6310052205794029,0.7758177631882054,13.140824096381747,0.019818575872820647,0.8096853841173517,7
0.06699859612592758,0.41397727972925025,0.6602569908722862,11.739342973163467,0.023659081054585876,0.7161064918712536,8
0.02519991355801807,0.6965811131377743,0.8216106608922673,15.98600948954176,0.003076120779171576,0.8455260074076072,9
0.04448515839240672,0.5766115358630547,0.7783955768932328,13.517848587581698,0.012163963771025523,0.8153381527993846,10
