MSE,SSIM,PixelCorr,PSNR,FID_like,CLIP_like,Sample
4.39860446208427e-06,0.9995811038618837,0.9999902732095799,53.56685089547911,1.5903644740167203e-07,0.9999932302516907,1
5.481753205989926e-07,0.9999674781219645,0.999998961091065,62.61080520728189,3.23474262290723e-08,0.9999994460074938,2
2.4735937284222694e-05,0.9999102706928198,0.9998983505071031,46.06671628875552,6.212639420141416e-07,0.9999102805942474,3
1.4258449689057416e-05,0.9999157674345568,0.9999681346360955,48.459276924427456,3.762601216525155e-07,0.999978144382617,4
0.05148048765582643,0.5935033301377383,0.8491848027540305,12.88357347835417,0.00302538202431092,0.8808357224054822,5
1.4258474029079473e-05,0.9999157673041283,0.9999681345794884,48.45926951076855,3.762601216525155e-07,0.999978145803011,6
2.0254692547868245e-05,0.9999204578676099,0.9999587136411147,46.93474344718244,2.5314857604278367e-07,0.9999756439984727,7
0.00031992777470202314,0.9980718266060546,0.9993628765806211,34.94948054769885,4.39707515182263e-06,0.9996552928885193,8
0.0003199278045898265,0.9980718263972775,0.9993628765209774,34.94948014197891,4.39707515182263e-06,0.9996552927224384,9
7.129569378214958e-06,0.9999693473240838,0.9999741187431621,51.469367004865305,1.548167340868155e-07,0.9999780857358926,10
1.1433588233165853e-06,0.999584046706164,0.9999932978156028,59.4181745242995,2.6004211299440272e-08,0.9999938054087278,11
2.6896043674214372e-05,0.999828464949404,0.9998910668993273,45.703115986898915,1.096066394407923e-06,0.9999058250509403,12
