fold,iteration,loss
1,0,0.6497661471366882
1,1,0.465504914522171
1,2,0.4097737967967987
1,3,0.3669540286064148
1,4,0.3199865520000458
1,5,0.2929843068122864
1,6,0.2591560482978821
1,7,0.226910799741745
1,8,0.19741298258304596
1,9,0.17475539445877075
1,10,0.15802499651908875
1,11,0.13906879723072052
1,12,0.12260758131742477
1,13,0.09864301234483719
1,14,0.07678527384996414
1,15,0.06370104849338531
1,16,0.057157814502716064
1,17,0.06069008260965347
1,18,0.1365119218826294
1,19,0.12066954374313354
1,20,0.0817653015255928
1,21,0.051255811005830765
1,22,0.04027703404426575
1,23,0.034115321934223175
1,24,0.030296409502625465
1,25,0.02657388150691986
1,26,0.023063793778419495
1,27,0.02047302946448326
1,28,0.017268719151616096
1,29,0.018093617632985115
1,30,0.016479026526212692
1,31,0.015844210982322693
1,32,0.014736047945916653
1,33,0.01806311495602131
1,34,0.012362366542220116
1,35,0.0069767385721206665
1,36,0.004921238403767347
1,37,0.0036053296644240618
1,38,0.0019495747983455658
1,39,0.001123329857364297
1,40,0.0006294649210758507
1,41,0.00041662008152343333
1,42,0.0002870920579880476
1,43,0.00021492976520676166
1,44,0.0001709994103293866
1,45,0.0001395028957631439
1,46,0.0001177190279122442
1,47,0.0001012112625176087
1,48,8.8623353803996e-05
1,49,7.84224466769956e-05
2,0,0.8584119081497192
2,1,0.6654002070426941
2,2,0.604319155216217
2,3,0.49396446347236633
2,4,0.41858869791030884
2,5,0.36290451884269714
2,6,0.330144464969635
2,7,0.29958605766296387
2,8,0.28815218806266785
2,9,0.2542782723903656
2,10,0.20562288165092468
2,11,0.16876539587974548
2,12,0.14707054197788239
2,13,0.1274733692407608
2,14,0.11781887710094452
2,15,0.10630915313959122
2,16,0.10438784211874008
2,17,0.08814352005720139
2,18,0.0764102190732956
2,19,0.06391061097383499
2,20,0.0811167061328888
2,21,0.07228520512580872
2,22,0.05212606489658356
2,23,0.04037730395793915
2,24,0.029812153428792953
2,25,0.024073541164398193
2,26,0.017549775540828705
2,27,0.012859812937676907
2,28,0.008280494250357151
2,29,0.004501285497099161
2,30,0.0014939906541258097
2,31,0.0006153035792522132
2,32,0.0003048487415071577
2,33,0.00018464124877937138
2,34,0.00013314840907696635
2,35,0.00010477496107341722
2,36,8.526354940840974e-05
2,37,7.47875528759323e-05
2,38,6.502092583104968e-05
2,39,5.765579771832563e-05
2,40,5.1872728363377973e-05
2,41,4.707133848569356e-05
2,42,4.3280764657538384e-05
2,43,3.9754497265676036e-05
2,44,3.69698645954486e-05
2,45,3.409440614632331e-05
2,46,3.197466867277399e-05
2,47,2.9432456358335912e-05
2,48,2.7758493160945363e-05
2,49,2.6133506253245287e-05
3,0,0.6275795102119446
3,1,0.5227928161621094
3,2,0.49453336000442505
3,3,0.44166556000709534
3,4,0.38524845242500305
3,5,0.3310443162918091
3,6,0.30773037672042847
3,7,0.30209875106811523
3,8,0.2880930006504059
3,9,0.2873789668083191
3,10,0.27692869305610657
3,11,0.27280351519584656
3,12,0.28192880749702454
3,13,0.29317063093185425
3,14,0.2728531062602997
3,15,0.2663276791572571
3,16,0.25517138838768005
3,17,0.24176453053951263
3,18,0.22798389196395874
3,19,0.21681241691112518
3,20,0.20813016593456268
3,21,0.18940871953964233
3,22,0.1801014542579651
3,23,0.1651269495487213
3,24,0.15040497481822968
3,25,0.13722346723079681
3,26,0.12437531352043152
3,27,0.1085987389087677
3,28,0.09647246450185776
3,29,0.09002303332090378
3,30,0.08241023868322372
3,31,0.07542533427476883
3,32,0.08159882575273514
3,33,0.0674288421869278
3,34,0.060365576297044754
3,35,0.06250593066215515
3,36,0.0504145585000515
3,37,0.04109921306371689
3,38,0.03245437145233154
3,39,0.02591826766729355
3,40,0.02863885834813118
3,41,0.025840753689408302
3,42,0.017800569534301758
3,43,0.014985691756010056
3,44,0.011337969452142715
3,45,0.01169913075864315
3,46,0.010801179334521294
3,47,0.010321132838726044
3,48,0.00809452310204506
3,49,0.007947692647576332
4,0,0.6565850973129272
4,1,0.5791100263595581
4,2,0.48628345131874084
4,3,0.43079137802124023
4,4,0.3732757568359375
4,5,0.34778574109077454
4,6,0.3169934153556824
4,7,0.31062355637550354
4,8,0.29475894570350647
4,9,0.2900334298610687
4,10,0.29013535380363464
4,11,0.28063052892684937
4,12,0.274020791053772
4,13,0.2632952332496643
4,14,0.2517945170402527
4,15,0.23820912837982178
4,16,0.21879708766937256
4,17,0.2001119703054428
4,18,0.23001566529273987
4,19,0.21309755742549896
4,20,0.18375013768672943
4,21,0.15810976922512054
4,22,0.13550446927547455
4,23,0.122712142765522
4,24,0.11451902240514755
4,25,0.12200748175382614
4,26,0.10853996872901917
4,27,0.09977652132511139
4,28,0.08990132063627243
4,29,0.08408159762620926
4,30,0.0759744942188263
4,31,0.10425429046154022
4,32,0.10190939158201218
4,33,0.08927027881145477
4,34,0.08623142540454865
4,35,0.07561905682086945
4,36,0.0636657178401947
4,37,0.05984820798039436
4,38,0.06766053289175034
4,39,0.061130523681640625
4,40,0.056337855756282806
4,41,0.05278496444225311
4,42,0.047127678990364075
4,43,0.04614614322781563
4,44,0.04312427341938019
4,45,0.041296690702438354
4,46,0.03705340623855591
4,47,0.03396905958652496
4,48,0.03245171532034874
4,49,0.02962537482380867
5,0,0.7609744668006897
5,1,0.6599843502044678
5,2,0.6018831729888916
5,3,0.4634822607040405
5,4,0.38094383478164673
5,5,0.3388746976852417
5,6,0.3074484169483185
5,7,0.29699385166168213
5,8,0.28926220536231995
5,9,0.2828562557697296
5,10,0.27578267455101013
5,11,0.2729267477989197
5,12,0.2689059376716614
5,13,0.2622012495994568
5,14,0.255702942609787
5,15,0.24841725826263428
5,16,0.25099271535873413
5,17,0.242359921336174
5,18,0.2369174063205719
5,19,0.22443357110023499
5,20,0.22341328859329224
5,21,0.20936347544193268
5,22,0.2093576192855835
5,23,0.19390910863876343
5,24,0.18660514056682587
5,25,0.17171788215637207
5,26,0.15405717492103577
5,27,0.15226687490940094
5,28,0.1793423444032669
5,29,0.1472216099500656
5,30,0.12715354561805725
5,31,0.12260661274194717
5,32,0.11041896045207977
5,33,0.09900381416082382
5,34,0.09928607195615768
5,35,0.09741077572107315
5,36,0.08869092166423798
5,37,0.08720304816961288
5,38,0.08125335723161697
5,39,0.07877127826213837
5,40,0.07414580136537552
5,41,0.07764684408903122
5,42,0.07543100416660309
5,43,0.059695661067962646
5,44,0.08491040766239166
5,45,0.07097108662128448
5,46,0.07029364258050919
5,47,0.06159326061606407
5,48,0.056552253663539886
5,49,0.04937458038330078
